,Ticker,Chg_from_Hi,Chg_from_Lo,Chg_from_50davg,Short_Ratio,Is_Dead_Cat
0,USCR,-7.64955389791,72.9389208436,1.45399931793,4.08365910568,1
1,SRPT,-45.872218234,110.61452514,23.3506944444,3.63904180805,1
2,SPWR,-49.7562560936,14.6034099333,-8.77408477842,7.63729659525,1
3,CMA,-23.0088495575,29.0135396518,-8.89332837762,3.3409254641,1
4,AKS,-8.97196261682,166.120218579,13.1913480694,2.56564562694,1
5,QCOM,-20.3120867495,17.9949089485,6.48006072747,2.06945939746,1
6,NFLX,-24.5321927748,19.3501630632,4.54412130762,3.09948587885,1
7,XPO,-39.7058823529,46.7280163599,-2.14592871954,13.1095425128,1
8,AMD,0.0,234.355828221,41.577203446,3.69086701685,1
9,SCTY,-64.1103316327,35.0329934013,-15.0879921169,4.15528182709,1
10,WLL,-67.4172921879,232.011331445,3.71494103412,2.26632999357,1
11,STMP,-27.7382413088,33.7066747389,-13.8316190537,4.2672505273,1
12,AMBA,-69.8342541436,10.3348729792,-8.37671232877,10.9723026207,1
13,PCRX,-32.8993055556,47.7607864555,-2.782625913,9.87606310618,1
14,BAC,-35.0677506775,7.3476702509,-23.2001046641,0.592950930194,1
15,CNX,-83.6342457775,12.625250501,-26.8229166667,4.83287265554,1
16,OAS,-74.5210727969,32.3981900452,-12.6301035954,5.21897083763,1
17,XON,-52.8598457284,111.699346405,28.9117580168,21.293666623,1
18,DV,-46.4548396587,14.898989899,1.73165111451,7.6582621143,1
19,MNRO,-11.8568232662,14.3588868021,-3.68811808551,22.0353486313,1
20,JACK,-29.2361540045,10.1602564103,2.82785296264,5.16515672066,1
21,SYNA,-35.7613081334,12.3491179201,-15.1399782447,5.72660125851,1
22,QLGC,-28.3826305853,29.3181818182,-19.2668254439,2.93118022303,1
23,CWEI,-39.8990248288,30.6766917293,-3.96144113096,3.46647113357,1
24,RJF,-22.8748572361,5.7731036026,-16.4247338017,3.33132171415,1
25,ODP,-62.3794212219,5.40540540541,-43.2890940565,0.884818319355,1
26,CEMP,-56.2307013674,34.5423728814,15.6166028583,11.6250576172,1
27,IMMU,-5.84905660377,217.834394904,49.2552801856,12.4795801454,1
28,ALNY,-46.5724789159,41.5314111132,16.7007804944,6.6330151861,1
29,CLDX,-81.3571961223,57.7287066246,22.7178241378,7.93303277169,1
30,PTCT,-86.4995957963,52.3722627737,15.7212959428,6.44878690961,1
31,ENDP,-82.2321122903,15.7620817844,-43.641548042,0.8212836902,1
32,LVLT,-7.73286467487,37.976346912,-2.94467186056,2.33746193737,1
33,GNW,-63.2911392405,8.29875518672,-31.3821225453,2.50583846971,1
34,NAV,-56.69093648,6.87732342007,-22.9478981025,8.1189103364,1
35,VRX,-89.38747524,7.56756756757,-26.2807739455,0.48905326701,1
36,CHK,-70.5882352941,13.7980085349,-30.6846132219,9.18403520829,1
37,INO,-36.9465648855,293.333333333,-7.27605956472,9.30338686348,1
